GAGA-ID	Species	Description	Download	Output name	Tissue	Caste	Note	SRA accession	Bioproject	BioSample	Assay Type	AvgSpotLen	Bases	Bytes	Center Name	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	Sample Name	SRA Study	GEO_Accession	source_name	genotype/variation	social_status	Strain	BIOME	Collection_date	dev_stage	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	health_state	Isolate	Library Name	sex	tissue_type																												
NCBI-0007	Dinoponera quadriceps	Non-reproductive worker brain	X	NCBI-0007_Dqua_worker_nonreproductive_brain_rep5	Brain	Worker		SRR1519129	PRJNA255520	SAMN02924106	RNA-Seq	200	5.26 G	3.12 Gb	GEO	SRX656314	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438848	SRP044613	GSM1438848	adult brain	WT	non-reproductive																																								
NCBI-0007	Dinoponera quadriceps	Non-reproductive worker brain	X	NCBI-0007_Dqua_worker_nonreproductive_brain_rep6	Brain	Worker		SRR1519130	PRJNA255520	SAMN02924109	RNA-Seq	200	5.95 G	3.63 Gb	GEO	SRX656315	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	30/09/2015	GSM1438849	SRP044613	GSM1438849	adult brain	WT	non-reproductive																																								
NCBI-0007	Dinoponera quadriceps	Venom gland	X	NCBI-0007_Dqua_venomgland	Venom gland			SRR972642	PRJNA217939	SAMN02343703	RNA-Seq	160	404.22 M	338.04 Mb	FED UNIV CE/BRAZIL & UNIV MACAU/CHINA	SRX346834	Ion Torrent PGM	SINGLE	RANDOM	TRANSCRIPTOMIC	ION_TORRENT	06/09/2014	D qua venom gland	SRP029639					SM-T01	Caatinga and Atlantic forest	2010-12	adult	uncalculated	uncalculated	Brazil/Northeastern region	healthy	SM-T01	Giant ant (D. quadricpes) venom gland	female	venom gland																												
NCBI-0001	Ooceraea biroi	Reproductive phase worker brain		NCBI-0001_Obir_reproductive_worker_brain_exp2_rep1	Brain	Reproductive worker	"The paper cite PRJNA304722, but they uploaded this data under this bioproject, not sure;"	SRR7204406	PRJNA472392	SAMN09238620	RNA-Seq	151	3.63 G	1.55 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113410	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_nolarvae1	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers without larvae replicate1	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Reproductive phase worker brain		NCBI-0001_Obir_reproductive_worker_brain_exp2_rep2	Brain	Reproductive worker		SRR7204407	PRJNA472392	SAMN09238621	RNA-Seq	151	2.49 G	1.08 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113409	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_nolarvae2	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers without larvae replicate2	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Reproductive phase worker brain		NCBI-0001_Obir_reproductive_worker_brain_exp2_rep3	Brain	Reproductive worker		SRR7204408	PRJNA472392	SAMN09238622	RNA-Seq	151	2.48 G	1.07 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113408	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_nolarvae3	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers without larvae replicate3	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Reproductive phase worker brain		NCBI-0001_Obir_reproductive_worker_brain_exp2_rep4	Brain	Reproductive worker		SRR7204409	PRJNA472392	SAMN09238623	RNA-Seq	151	3.56 G	1.52 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113407	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_nolarvae4	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers without larvae replicate4	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Brood care phase worker brain		NCBI-0001_Obir_broodcare_worker_brain_exp2_rep1	Brain	Worker		SRR7204410	PRJNA472392	SAMN09238624	RNA-Seq	151	3.19 G	1.36 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113406	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_larvae1	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers with larvae replicate1	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Brood care phase worker brain		NCBI-0001_Obir_broodcare_worker_brain_exp2_rep2	Brain	Worker		SRR7204411	PRJNA472392	SAMN09238625	RNA-Seq	151	3.20 G	1.36 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113405	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_larvae2	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers with larvae replicate2	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Brood care phase worker brain		NCBI-0001_Obir_broodcare_worker_brain_exp2_rep3	Brain	Worker		SRR7204412	PRJNA472392	SAMN09238626	RNA-Seq	151	3.55 G	1.50 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113404	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_larvae3	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers with larvae replicate3	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Brood care phase worker brain		NCBI-0001_Obir_broodcare_worker_brain_exp2_rep4	Brain	Worker		SRR7204413	PRJNA472392	SAMN09238627	RNA-Seq	151	3.29 G	1.40 Gb	THE ROCKEFELLER UNIVERSITY	SRX4113403	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	21/08/2018	Obir_larvae4	SRP148603	female	Invertebrate	Adult	Brain	2017-02	Workers with larvae replicate4	USA	North America	USA:NY Rockefeller University				1 month																															
NCBI-0001	Ooceraea biroi	Cerapachys biroi line A brood care phase 	X	NCBI-0001_Obir_broodcare_worker_brain_rep1	Brain	Worker	"Queenless, worker monomorphic; all ants have worker phenotypes and entire colonies alternate between a reproductive phase, in which some workers lay eggs, and a brood-care phase, in which all workers forage and nurse"	SRR2969431	PRJNA304722	SAMN04308687	RNA-Seq	202	10.11 G	6.05 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458646	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_100	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	1 month	C_biroi_methylome_100			worker	MLL1 (line A)	C16								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line A reproductive phase 	X	NCBI-0001_Obir_reproductive_worker_brain_rep1	Brain	Reproductive worker		SRR2969433	PRJNA304722	SAMN04308688	RNA-Seq	202	10.43 G	6.22 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458665	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_101	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	2 month	C_Biroi_methylome_101			worker	MLL1 (line A)	C16								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line A brood care phase 	X	NCBI-0001_Obir_broodcare_worker_brain_rep2	Brain	Worker		SRR2969435	PRJNA304722	SAMN04308689	RNA-Seq	202	6.63 G	3.89 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458666	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_102	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	3 month	C_Biroi_methylome_102			worker	MLL1 (line A)	C1								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line A reproductive phase 	X	NCBI-0001_Obir_reproductive_worker_brain_rep2	Brain	Reproductive worker		SRR2969436	PRJNA304722	SAMN04308690	RNA-Seq	202	7.40 G	4.32 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458667	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_103	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	4 month	C_Biroi_methylome_103			worker	MLL1 (line A)	C1								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line B brood care phase 	X	NCBI-0001_Obir_broodcare_worker_brain_rep3	Brain	Worker		SRR2969437	PRJNA304722	SAMN04308691	RNA-Seq	202	7.04 G	4.12 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458668	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_104	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	5 month	C_Biroi_methylome_104			worker	MLL4 (line B)	STC1								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line B reproductive phase 	X	NCBI-0001_Obir_reproductive_worker_brain_rep3	Brain	Reproductive worker		SRR2969438	PRJNA304722	SAMN04308692	RNA-Seq	202	7.31 G	4.27 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458669	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_105	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	6 month	C_Biroi_methylome_105			worker	MLL4 (line B)	STC1								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line B brood care phase 	X	NCBI-0001_Obir_broodcare_worker_brain_rep4	Brain	Worker		SRR2969440	PRJNA304722	SAMN04308693	RNA-Seq	202	10.22 G	6.11 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458670	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_106	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	7 month	C_Biroi_methylome_106			worker	MLL4 (line B)	STC6								laboratory colony																	
NCBI-0001	Ooceraea biroi	Cerapachys biroi line B reproductive phase 	X	NCBI-0001_Obir_reproductive_worker_brain_rep4	Brain	Reproductive worker		SRR2969447	PRJNA304722	SAMN04308694	RNA-Seq	202	9.91 G	5.96 Gb	THE ROCKEFELLER UNIVERSITY	SRX1458671	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	29/01/2016	C.biroi_brains_107	SRP066896	SRP066896	Invertebrate	adult	brain	19/06/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Romain Libbrecht	8 month	C_Biroi_methylome_107			worker	MLL4 (line B)	STC6								laboratory colony																	
NCBI-0001	Ooceraea biroi				Brain		Hundred of brain transcriptomes from larvae or pupae from brood care and reproductive workers, from the same BioProject	SRR1801940	PRJNA273874	SAMN03332194	RNA-Seq	202	10.68 G	6.59 Gb	THE ROCKEFELLER UNIVERSITY	SRX875830	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	16/02/2015	C.biroi_brains_1	SRP054963	female	Invertebrate	adult	brain	15/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Larvae	L001_R1_001.fastq.gz	Brood Care	1	2	1	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803055	PRJNA273874	SAMN03332195	RNA-Seq	202	7.15 G	3.98 Gb	THE ROCKEFELLER UNIVERSITY	SRX875850	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	13/02/2015	C.biroi_brains_2	SRP054963	female	Invertebrate	adult	brain	26/08/2013	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Pupae	L002_R1_001.fastq.gz	Brood Care	2	1	2	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803057	PRJNA273874	SAMN03332196	RNA-Seq	101	3.19 G	1.96 Gb	THE ROCKEFELLER UNIVERSITY	SRX875851	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	13/02/2015	C.biroi_brains_3	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Pupae	L005_R1_001.fastq.gz	Brood Care	3	3	3	24																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803058	PRJNA273874	SAMN03332197	RNA-Seq	101	3.11 G	1.91 Gb	THE ROCKEFELLER UNIVERSITY	SRX875852	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	13/02/2015	C.biroi_brains_4	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Pupae	L005_R1_001.fastq.gz	Brood Care	4	3	4	48																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803064	PRJNA273874	SAMN03332198	RNA-Seq	101	3.03 G	1.86 Gb	THE ROCKEFELLER UNIVERSITY	SRX875853	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_5	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Pupae	L005_R1_001.fastq.gz	Brood Care	5	3	5	96																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803065	PRJNA273874	SAMN03332199	RNA-Seq	101	2.89 G	1.77 Gb	THE ROCKEFELLER UNIVERSITY	SRX875854	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_6	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Larvae	L005_R1_001.fastq.gz	Reproductive	6	3	6	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803080	PRJNA273874	SAMN03332200	RNA-Seq	101	3.02 G	1.85 Gb	THE ROCKEFELLER UNIVERSITY	SRX875855	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_7	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Larvae	L005_R1_001.fastq.gz	Reproductive	7	3	7	24																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803081	PRJNA273874	SAMN03332201	RNA-Seq	101	3.02 G	1.85 Gb	THE ROCKEFELLER UNIVERSITY	SRX875856	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_8	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Larvae	L005_R1_001.fastq.gz	Reproductive	8	3	8	48																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803082	PRJNA273874	SAMN03332202	RNA-Seq	101	2.96 G	1.82 Gb	THE ROCKEFELLER UNIVERSITY	SRX875857	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_9	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Larvae	L005_R1_001.fastq.gz	Reproductive	9	3	9	96																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803084	PRJNA273874	SAMN03332203	RNA-Seq	202	8.31 G	4.67 Gb	THE ROCKEFELLER UNIVERSITY	SRX875858	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_10	SRP054963	female	Invertebrate	adult	brain	26/08/2013	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16II	Pupae	L002_R1_001.fastq.gz	Reproductive	10	1	10	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803085	PRJNA273874	SAMN03332204	RNA-Seq	202	7.95 G	4.44 Gb	THE ROCKEFELLER UNIVERSITY	SRX875859	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	14/02/2015	C.biroi_brains_11	SRP054963	female	Invertebrate	adult	brain	26/08/2013	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16III	Larvae	L002_R1_001.fastq.gz	Brood Care	11	1	11	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803087	PRJNA273874	SAMN03332205	RNA-Seq	202	6.02 G	3.37 Gb	THE ROCKEFELLER UNIVERSITY	SRX875860	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	14/02/2015	C.biroi_brains_12	SRP054963	female	Invertebrate	adult	brain	26/08/2013	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16III	Pupae	L003_R1_001.fastq.gz	Reproductive	12	1	12	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803088	PRJNA273874	SAMN03332206	RNA-Seq	202	8.56 G	4.79 Gb	THE ROCKEFELLER UNIVERSITY	SRX875861	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_13	SRP054963	female	Invertebrate	adult	brain	26/08/2013	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16IV	Larvae	L003_R1_001.fastq.gz	Brood Care	13	1	13	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803090	PRJNA273874	SAMN03332207	RNA-Seq	101	2.63 G	1.59 Gb	THE ROCKEFELLER UNIVERSITY	SRX875867	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_14	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16IV	Pupae	L006_R1_001.fastq.gz	Brood Care	14	3	14	12																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803091	PRJNA273874	SAMN03332208	RNA-Seq	101	2.58 G	1.57 Gb	THE ROCKEFELLER UNIVERSITY	SRX875868	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	13/02/2015	C.biroi_brains_15	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16IV	Pupae	L006_R1_001.fastq.gz	Brood Care	15	3	15	24																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803092	PRJNA273874	SAMN03332209	RNA-Seq	101	2.31 G	1.40 Gb	THE ROCKEFELLER UNIVERSITY	SRX875869	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	15/02/2015	C.biroi_brains_16	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16IV	Pupae	L006_R1_001.fastq.gz	Brood Care	16	3	16	48																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803093	PRJNA273874	SAMN03332210	RNA-Seq	101	2.26 G	1.37 Gb	THE ROCKEFELLER UNIVERSITY	SRX875870	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	16/02/2015	C.biroi_brains_17	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16IV	Pupae	L006_R1_001.fastq.gz	Brood Care	17	3	17	96																				
NCBI-0001	Ooceraea biroi				Brain			SRR1803094	PRJNA273874	SAMN03332211	RNA-Seq	101	2.49 G	1.51 Gb	THE ROCKEFELLER UNIVERSITY	SRX875871	Illumina HiSeq 2000	SINGLE	PolyA	TRANSCRIPTOMIC	ILLUMINA	17/02/2015	C.biroi_brains_18	SRP054963	female	Invertebrate	adult	brain	28/03/2014	worker brain	USA	North America	USA: New York	40.71 N 74.01 W	Daniel Kronauer	Peter Oxley	1 month	not applicable	worker	MLL1 (Line A)	C16IV	Larvae	L006_R1_001.fastq.gz	Reproductive	18	3	18	12																				
